time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-01T05:41:10.999Z,37.4221,59.9086,10,4,mb,30,88,8.921,0.98,us,us6000jknr,2023-03-02T14:35:31.040Z,"27 km ENE of Kaka, Turkmenistan",earthquake,8.04,1.94,0.197,7,reviewed,us,us
2023-02-01T10:53:21.381Z,40.1361,22.8003,15.031,4.6,mb,41,61,1.17,0.77,us,us6000jkpt,2023-02-15T06:09:54.136Z,"22 km ENE of Leptokaryá, Greece",earthquake,3.97,4.566,0.223,6,reviewed,us,us
2023-02-03T11:05:09.361Z,37.2003,36.4998,10,4.2,mb,39,137,0.568,0.64,us,us6000jl5l,2023-02-12T07:23:30.040Z,Central Turkey,earthquake,4.01,1.924,0.132,16,reviewed,us,us
2023-02-03T12:44:14.853Z,36.7689,21.6393,29.528,4.2,mb,43,185,0.469,0.58,us,us6000jl5y,2023-02-13T06:02:38.040Z,"8 km SW of Methóni, Greece",earthquake,8.15,4.144,0.137,15,reviewed,us,us
2023-02-04T02:45:45.950Z,34.3241,45.7059,10,4.7,mb,68,67,3.429,0.71,us,us6000jlbp,2023-03-08T02:55:30.040Z,"20 km SW of Sarpol-e Z?ah?b, Iran",earthquake,8.42,1.853,0.055,99,reviewed,us,us
2023-02-04T06:04:14.851Z,34.9107,14.2405,10,4.7,mb,55,101,4.085,0.51,us,us6000jlch,2023-02-15T12:58:43.824Z,central Mediterranean Sea,earthquake,4.72,1.802,0.092,36,reviewed,us,us
2023-02-06T01:17:34.332Z,37.2302,37.019,10,7.8,mww,266,17,0.163,0.67,us,us6000jllz,2023-04-02T21:36:17.473Z,"Pazarcik earthquake, Kahramanmaras earthquake sequence",earthquake,5.23,1.792,0.05,38,reviewed,us,us
2023-02-06T01:26:50.804Z,37.2244,36.9975,10,5.7,mb,97,75,0.177,1.31,us,us6000jlnn,2023-03-24T05:41:55.448Z,"24 km ENE of Nurda??, Turkey",earthquake,5.16,1.825,0.072,69,reviewed,us,us
2023-02-06T01:28:15.784Z,37.1893,36.8929,9.797,6.7,mww,194,19,0.254,0.68,us,us6000jlm1,2023-03-22T20:01:02.806Z,"14 km E of Nurda??, Turkey",earthquake,7.68,3.333,0.098,10,reviewed,us,us
2023-02-06T01:36:27.357Z,36.9921,36.6832,10,5.6,mb,167,47,0.458,0.59,us,us6000jlm9,2023-02-15T04:12:06.711Z,Turkey-Syria border region,earthquake,6.2,1.76,0.052,128,reviewed,us,us
2023-02-06T01:40:48.558Z,36.6696,36.4767,10,4.7,mb,17,227,0.772,0.51,us,us6000jnr5,2023-03-24T05:25:10.040Z,"14 km SSW of A?a?? Karafak?l?, Turkey",earthquake,4.2,1.926,0.225,6,reviewed,us,us
2023-02-06T01:41:15.211Z,37.9792,38.5117,14.252,4.6,mb,49,112,2.267,0.66,us,us6000jnvq,2023-03-24T05:22:43.040Z,"10 km SW of Sincik, Turkey",earthquake,7.61,3.691,0.119,21,reviewed,us,us
2023-02-06T01:47:43.761Z,38.6055,40.5767,11.35,4.6,mb,17,158,1.142,0.77,us,us6000jm4u,2023-03-07T04:33:59.040Z,"15 km S of Genç, Turkey",earthquake,7.05,6.644,0.207,7,reviewed,us,us
2023-02-06T01:48:12.210Z,37.9828,38.1435,10,4.9,mb,83,60,0.763,0.89,us,us6000jlmd,2023-03-08T22:06:39.040Z,"9 km WSW of Çelikhan, Turkey",earthquake,4.03,1.625,0.077,53,reviewed,us,us
2023-02-06T01:50:10.207Z,38.2407,38.7424,15.123,4.8,mb,78,85,0.801,0.68,us,us6000jns9,2023-03-19T23:01:03.040Z,"25 km NNE of Sincik, Turkey",earthquake,3,4.766,0.094,35,reviewed,us,us
2023-02-06T01:51:19.056Z,36.7205,36.6192,10,4.5,mb,41,172,0.653,0.69,us,us6000jnr6,2023-03-08T23:58:28.040Z,"8 km SE of A?a?? Karafak?l?, Turkey",earthquake,6.94,1.92,0.124,19,reviewed,us,us
2023-02-06T01:51:43.490Z,37.4756,37.1578,7.445,4.7,mb,76,77,0.306,0.84,us,us6000jm4n,2023-03-07T03:02:00.040Z,"12 km W of Pazarc?k, Turkey",earthquake,4.88,4.304,0.08,47,reviewed,us,us
2023-02-06T01:54:36.565Z,36.3603,36.1708,10,4.4,mb,26,181,1.163,1.07,us,us6000jnr7,2023-03-07T03:22:03.040Z,Turkey-Syria border region,earthquake,3.45,1.941,0.169,10,reviewed,us,us
2023-02-06T01:55:41.029Z,37.2073,36.5988,10,4.4,mb,43,109,0.423,0.7,us,us6000jnru,2023-03-07T03:39:23.040Z,"2 km ENE of Bahçe, Turkey",earthquake,5.65,1.863,0.112,23,reviewed,us,us
